"","con1","con2","treat1","treat2","con3","con4","treat3","treat4"
"TRBV12-2",393,272,313,422,490,387,413,293
"TRBV7-7",189,154,178,178,210,187,248,189
"TRBV5-7",298,280,236,190,177,208,175,154
"TRBV12-4",6630,5372,7196,6648,6420,5806,6900,5118
"TRBV14",1119,921,1357,1141,1168,1055,1697,1295
"MTRNR2L6",453,371,548,566,387,366,589,452
"PGBD4P1",528,427,510,500,831,730,706,584
"AC244472.1",311,203,388,455,158,114,342,250
"PRSS2",4468,4039,5099,4250,4234,3990,5330,4310
"TRBJ1-3",915,784,940,807,461,458,836,649
"TRBJ1-5",1031,843,793,731,820,763,983,764
"TRBJ2-2P",790,584,960,935,856,757,1178,857
"TRPV6",338,285,512,563,489,392,614,491
"AC245427.2",187,143,227,235,207,168,239,209
"OR6W1P",264,187,277,240,366,283,331,256
"PIP",37,29,16,16,26,30,23,15
"TAS2R40",369,243,442,472,438,319,512,394
"AC073342.3",18,17,9,11,22,15,12,16
"RN7SL535P",609,557,775,601,526,544,696,490
"AC073264.1",10,9,4,9,25,24,21,9
"PAICSP5",1293,1294,1139,880,1156,1045,1176,849
"AC073264.2",2424,2286,2980,2362,3567,3289,3927,3045
"AC073264.3",944,751,1305,1172,1307,1108,1577,1158
"TCAF2P1",132,80,164,151,173,165,236,165
"OR2F2",1029,782,1014,1044,806,717,1060,832
"SLC16A1P1",29,30,22,19,40,41,16,17
"OR2A25",823,799,1261,1019,925,817,1285,937
"OR2A2",1316,1040,1667,1534,1311,1215,1786,1392
"OR2A3P",27,23,18,11,20,17,12,12
"CTAGE4",22,14,15,13,10,11,22,17
"ARHGEF35",41,24,22,25,60,44,49,24
"OR2A42",76,65,95,116,75,59,83,74
"OR2A20P",28,30,30,37,17,25,43,25
"OR2A9P",1176,1076,1068,913,1054,931,1173,810
"OR2A1",579,418,477,639,703,524,635,628
"RNU6ATAC40P",1876,1380,2371,2482,1540,1311,2142,1743
"RPL7P59",1699,1281,2439,2615,1413,1127,2061,1862
"AC004911.1",56,66,42,32,93,86,45,44
"AC073308.1",1057,889,1668,1517,1099,1010,1708,1395
"AC007027.1",21,24,30,42,28,24,38,24
"AC005229.4",317,243,304,350,352,322,437,361
"CUL1",81,51,53,44,46,39,58,30
"RNU7-20P",53,38,18,17,35,29,26,24
"GHET1",2785,2349,2356,2145,2416,2225,2250,1734
"RN7SL521P",96,91,145,137,67,72,152,119
"ZNF398",21,16,23,24,25,17,32,17
"AC073314.1",207,179,151,131,235,216,163,131
"ZNF862",243,205,172,159,255,260,261,190
"AC004877.1",1240,837,1191,1382,1611,1322,1687,1454
"AC092681.3",198,187,189,159,262,224,224,160
"ZBED6CL",334,309,356,339,335,315,355,302
"LINC00996",2206,1887,2517,2260,1682,1516,2334,1765
"AC073111.2",132,114,80,93,127,92,101,71
"GIMAP7",36,33,24,25,33,16,26,22
"TMEM176A",1118,909,891,768,831,794,867,722
"AC010973.1",1897,1370,2165,2150,1822,1635,2175,1813
"ASIC3",2990,2419,2735,2133,2443,2161,2693,2040
"AC010973.3",214,178,101,108,194,166,119,113
"TMUB1",613,551,458,469,473,478,487,405
"GBX1",212,231,135,109,170,172,161,138
"ASB10",1382,1248,1862,1536,4101,3671,4282,3355
"ABCF2",370,333,355,329,318,293,327,262
"MIR671",330,266,360,292,205,156,295,226
"NUB1",251,198,401,386,278,256,457,324
"AC005996.1",2694,2062,2741,2811,2710,2265,2679,2093
"RNU6-604P",333,229,344,343,455,418,692,514
"GALNTL5",1072,921,1019,889,1197,1162,1210,843
"AC104692.2",951,848,576,439,1333,1303,884,676
"FABP5P3",678,620,717,544,805,737,718,505
"RN7SL845P",562,419,800,759,762,653,942,626
"AC006348.1",2896,2451,2963,2672,2335,2121,2517,1964
"AC005588.1",135,87,167,155,124,131,190,165
"AC006019.3",11830,10498,12799,10759,7041,6650,12748,9980
"HTR5A",132,124,188,205,205,160,228,183
"AC093726.3",27,26,19,14,9,6,13,15
"AC092628.2",65,54,58,67,71,62,61,56
"AC099552.2",97,64,57,70,122,112,90,61
"CNPY1",88,70,69,89,101,86,87,117
"SHH",999,835,1029,1020,1141,991,1143,935
"AC021218.1",444,353,459,462,353,341,551,349
"AC006357.1",434,362,513,442,352,294,435,325
"MNX1-AS2",710,532,751,752,721,608,800,662
"MNX1-AS1",118,97,120,115,79,84,132,105
"AC006967.1",4789,3954,5245,4449,5285,4739,5717,4605
"AC006967.3",565,486,645,606,545,451,661,594
"UBE3C",1235,895,1305,1280,1551,1288,1378,1029
"DNAJB6",1688,1215,2198,2308,2061,1714,2670,2057
"PTPRN2-AS1",458,398,359,333,603,530,495,356
"AC078942.1",579,460,661,617,721,626,804,589
"MIR5707",491,384,623,647,535,473,618,503
"GTPBP6",360,239,348,401,508,433,437,348
"PPP2R3B",387,248,202,223,250,261,232,207
"CRLF2",32,32,50,39,25,27,31,31
"RNA5SP498",147,148,162,153,133,120,166,139
"IL3RA",5042,4521,6701,5791,4529,4049,7385,5814
"ASMTL-AS1",519,373,598,616,624,525,665,513
"ZBED1",1235,1204,1367,1216,1124,1002,1160,897
"GYG2",30830,27001,42147,36116,21932,19922,34619,25847
"ARSL",511,401,535,487,483,391,595,430
"ARSF",577,481,710,743,615,563,744,584
"LINC01546",130,105,195,172,162,145,169,135
"MXRA5",1159,988,1106,1101,1291,1085,1315,1055
"PRKX",1793,1591,1990,1667,1786,1625,2242,1746
"RNU6-146P",460,401,547,514,587,513,505,443
"PRKX-AS1",2161,1543,2219,2455,2849,2442,2863,2108
"BX842570.1",6618,5065,7340,7223,7507,6338,8360,7066
"BX890604.1",35,31,26,29,76,45,59,28
"MTND6P12",13,15,16,17,11,16,23,8
"NLGN4X",390,290,458,510,430,395,635,439
"VCX3A",104,92,91,101,97,69,72,62
"RPS27AP17",14,20,35,26,16,14,27,18
"MIR4767",128,99,64,71,104,93,73,60
"AC079142.1",273,214,268,246,210,188,224,164
"ANOS1",499,377,552,638,512,458,540,456
"FAM9A",2038,1766,1913,1709,1658,1502,1761,1351
"RNA5SP499",10946,8701,7505,7272,12588,10967,10095,7830
"AC073488.9",24,13,21,20,23,12,20,17
"AC073488.8",15,8,8,4,20,22,16,14
"AC073488.2",3224,3000,3093,2433,5451,5164,3847,2783
"EIF5P1",1755,1461,2747,2413,1373,1201,2372,1754
"WWC3",417,369,385,339,328,323,453,329
"AC003666.1",439,284,321,327,509,415,399,343
"RNU6-800P",33,43,15,10,42,30,22,17
"ARHGAP6",479,379,724,700,452,402,678,487
"MIR548AX",846,623,856,822,1027,928,995,782
"MSL3",422,378,568,474,455,447,573,442
"FRMPD4",793,609,1197,1087,578,503,1030,786
"AC002980.1",84,73,45,43,122,92,50,52
"RN7SKP290",3039,2470,2864,2663,3097,2599,3251,2323
"ATXN3L",172,169,190,169,172,129,206,156
"LINC01203",605,452,593,648,730,595,681,582
"RAB9A",2479,1958,2213,2073,2681,2299,2768,2049
"OFD1",391,291,399,368,541,474,446,326
"AC003035.1",241,178,178,183,245,236,194,151
"ASB9",1238,1070,1200,996,1039,1016,1200,877
"PIGA",254,257,233,219,161,167,209,162
"AC097625.1",22,35,19,16,20,35,15,7
"AC003669.1",70,49,79,83,87,68,78,63
"CTPS2",121,101,54,47,83,67,48,49
"AL732371.1",425,348,495,454,541,471,585,472
"CBX1P4",104,85,71,68,102,98,106,67
"AL845433.1",151,131,200,171,172,139,250,228
"NHS",212,187,300,263,197,185,347,255
"MIR4768",180,133,156,147,206,150,210,150
"Z93022.1",633,418,481,561,620,514,617,503
"NHS-AS1",184,164,219,196,164,153,276,188
"Z93929.1",1232,951,1496,1547,1900,1630,1961,1635
"LINC01456",18,15,17,16,18,12,15,9
"BEND2",3108,2578,2338,2107,2761,2444,2040,1648
"PPEF1-AS1",2194,1856,2227,1956,2236,1989,2386,1966
"PHKA2-AS1",3747,3224,4351,3882,3493,3246,4277,3305
"MAP3K15",226,170,221,206,224,182,202,167
"EIF5P2",211,173,197,211,286,218,241,183
"MIR23C",1458,1175,1685,1507,1445,1321,2117,1629
"AL928596.1",1011,944,318,233,643,590,549,370
"RN7SKP183",775,713,1059,954,953,857,1245,902
"RNU6-133P",917,844,687,645,807,828,862,682
"SMPX",109,66,64,63,115,82,78,66
"SMS",26,18,18,16,18,21,21,12
"PHEX-AS1",1431,1117,1312,1132,1286,1139,1463,998
"AC092832.2",1769,1601,2387,1969,1772,1738,2468,1977
"FAM3C2",291,190,251,241,354,300,368,248
"RPL9P7",701,637,634,590,867,780,783,572
"SNRPEP9",167,141,204,140,201,202,217,157
"EEF1B2P3",171,148,159,142,207,168,199,168
"RPP40P1",112,91,142,96,110,96,133,98
"AC121342.1",362,301,469,443,307,245,591,448
"VENTXP1",953,751,1321,1243,1116,1007,1516,1229
"AC005345.1",793,583,717,803,903,813,854,679
"HMGA1P1",5480,5082,4488,3686,5673,5270,5151,3912
"AC112493.1",31,28,28,30,45,32,36,25
"PTP4A1P5",230,204,140,124,296,252,231,156
"AC006210.1",277,199,248,243,465,379,321,214
"AC112492.4",65,74,89,60,64,60,54,57
"AC112492.5",318,208,362,379,415,382,435,376
"H3P43",18,15,11,17,18,24,16,13
"NR0B1",154,126,168,155,141,122,192,144
"CKS1BP6",29,8,22,17,19,21,29,26
"GK-IT1",542,433,721,755,481,463,640,556
"FTHL17",160,131,136,112,161,132,173,141
"AC079177.1",1018,783,1041,992,1034,925,1306,1077
"AL591501.1",850,767,535,495,796,741,614,473
"AL592043.2",1677,1420,2009,1833,1680,1473,1633,1248
"AL592504.1",29,31,20,22,25,15,42,21
"AL596245.1",21,11,33,12,19,22,13,16
"FAM47B",534,365,679,685,550,423,758,629
"AL596268.1",939,644,693,728,796,690,756,533
"RNU6-641P",1458,1231,1755,1583,1552,1442,1890,1413
"RPS15AP40",1312,1170,1220,1121,1417,1323,1427,1065
"AC006924.1",61,63,41,41,47,39,34,42
"BX842568.2",145,101,169,213,153,124,258,170
"PRRG1",329,238,356,394,349,300,373,314
"AF241726.2",1390,1364,1157,879,1398,1253,1366,1025
"DYNLT3",2500,2328,2621,2241,2526,2364,2849,2389
"RNU6-49P",417,356,470,406,346,293,471,348
"AL121578.1",518,397,338,388,680,550,481,337
"H2AL1RP",1156,952,1508,1504,1303,1068,1537,1111
"AL606748.2",343,255,248,186,337,279,300,233
"OTC",34,33,32,34,50,53,46,30
"AF241726.1",385,293,509,433,552,503,533,467
"FTLP16",12,9,22,16,19,20,25,27
"MID1IP1",212,153,276,248,177,171,267,217
"MID1IP1-AS1",39,40,46,62,47,35,48,51
"LINC01282",229,196,184,186,156,162,168,141
"GAPDHP1",439,374,507,390,435,404,519,400
"AL592164.2",1012,917,1293,1045,846,830,1169,993
"AC091806.1",475,338,570,594,501,431,618,507
"AC091807.1",88,77,57,59,69,52,63,57
"MED14",222,158,208,207,202,139,225,140
"MED14OS",145,126,175,167,126,113,178,136
"DPRXP6",287,242,262,214,336,338,260,212
"AC092474.1",140,111,205,196,148,117,173,159
"MKRN4P",379,317,330,244,205,201,288,226
"RPS2P55",3120,2389,2450,2557,3468,2888,3051,2322
"AC092268.2",139,135,61,55,146,136,78,70
"USP9X",265,193,379,368,309,266,555,402
"AL391647.1",560,507,660,619,661,606,751,550
"DDX3X",2382,2202,2281,1997,2542,2271,2529,1931
"RN7SL15P",203,181,192,170,243,218,190,163
"NYX",259,179,214,195,216,203,220,150
"CASK",369,325,294,281,337,328,345,250
"GPR34",34,40,28,31,38,23,32,23
"AL353691.1",1635,1508,2063,1814,1476,1361,1980,1516
"AL133329.1",1963,1720,1633,1344,2206,2020,2123,1593
"RNU6-630P",1080,798,1664,1745,1119,984,1887,1379
"AL451086.1",2797,2179,2645,2452,2453,2159,3118,2558
"MAOB",1860,1730,2597,2365,2078,1968,2809,2191
"FDPSP5",972,756,680,682,1040,890,845,654
"AC136489.1",54,40,41,38,66,63,67,48
"AC234772.1",50,32,71,66,28,37,62,39
"MIR222HG",1064,852,947,992,1139,990,1101,842
"AL031584.3",180,151,143,134,189,162,121,87
"PCNAP3",417,298,489,551,526,441,530,399
"AL139811.2",469,367,441,510,462,412,514,402
"GAPDHP65",404,353,497,470,483,415,519,431
"RNU6-50P",2129,1671,2277,2121,1997,1792,2380,1912
"ZNF674-AS1",315,260,243,213,326,325,377,252
"SLC9A7",137,103,145,146,196,173,194,164
"NDUFB11",73,66,83,95,108,80,73,60
"AL513366.1",338,239,334,279,230,208,363,235
"INE1",17,7,23,18,15,10,15,21
"USP11",401,330,307,245,428,402,364,269
"AL591503.3",60,42,51,54,70,79,61,39
"RN7SL785P",695,686,673,525,694,685,872,642
"AL591503.2",1529,1333,1541,1258,1460,1378,1725,1450
"LINC01560",421,298,438,465,415,416,488,411
"NUS1P1",346,291,395,396,441,376,505,393
"TIMP1",15,9,19,17,15,16,21,21
"CFP",351,249,371,434,307,245,384,320
"UXT",1758,1512,2301,2038,1723,1681,2403,1810
"CXXC1P1",331,211,450,470,310,280,570,464
"ZNF182",1524,1370,983,865,1260,1199,1122,874
"SPACA5B",355,223,316,386,329,251,374,361
"AC244636.1",664,581,528,482,860,804,720,574
"AC244636.2",21,15,15,6,12,13,16,13
"SSXP3",369,279,307,350,512,413,357,252
"AC245047.7",662,564,725,777,650,534,750,562
"AC245047.4",781,635,765,725,1180,965,1179,1027
"AC245047.6",199,144,163,161,236,242,170,129
"SSX9P",123,97,290,245,152,147,374,321
"SSX4B",212,186,295,229,399,386,327,274
"AL606490.4",6031,4715,5966,5841,6153,5397,6097,4440
"AL606490.8",37,31,56,63,30,31,57,43
"AF196972.1",155,137,176,169,169,148,215,150
"PORCN",1764,1420,1356,1120,1898,1718,1458,1087
"AC115618.3",20,12,25,24,28,12,31,18
"WDR13",2055,1681,2481,2143,1816,1770,2234,1758
"SUV39H1",1663,1323,1948,1776,1336,1194,1812,1404
"RNU6-1056P",517,456,574,436,236,241,420,340
"GLOD5",29,35,32,26,19,20,34,20
"RNU6-29P",554,382,460,490,582,423,616,529
"HDAC6",827,819,921,762,744,711,844,678
"TIMM17B",767,661,566,597,896,872,723,557
"SLC35A2",1088,872,798,779,858,840,830,751
"RNU6-722P",1826,1590,1957,1565,2159,2078,2454,1766
"TFE3",1003,912,1494,1334,970,871,1378,1026
"RNU4-52P",924,871,771,624,983,919,1112,819
"GPKOW",43,33,14,11,49,44,31,21
"HSPB1P2",1101,824,1464,1573,1331,1130,1706,1250
"FOXP3",1099,884,983,1001,1234,1155,1033,783
"AC232271.1",1729,1479,1280,1216,1335,1249,1346,1115
"GAGE12J",540,384,589,555,560,479,691,558
"PAGE4",345,268,351,280,332,267,320,235
"USP27X-AS1",176,133,185,161,238,216,219,206
"CLCN5",481,447,1058,885,393,377,852,687
"MIR532",82,86,59,41,90,106,78,63
"MIR500B",333,263,429,453,419,381,503,427
"PYY3",476,342,529,558,590,499,673,540
"AKAP4",759,520,718,767,977,811,966,725
"AC239367.3",927,833,798,675,1064,915,1304,904
"NUDT10",4392,3780,5303,4761,3853,3671,4530,3863
"CENPVL1",663,567,750,603,829,719,758,593
"MAGED1",418,306,517,493,412,417,508,389
"XAGE2",737,580,852,739,610,556,808,637
"BX510359.8",73,68,41,49,67,80,53,50
"BX510359.7",3628,2806,3520,3382,4244,3853,4103,3501
"XAGE1A",176,110,196,204,258,196,247,211
"RBM22P7",259,197,207,232,270,237,252,268
"BX510359.6",109,91,154,143,176,169,245,177
"BX510359.3",200,161,195,193,276,244,298,263
"AL450023.2",131,90,104,125,120,83,133,105
"SSX7",1910,1554,1637,1449,2052,1861,1485,1117
"SSX2",258,211,292,268,445,413,370,365
"AC244505.7",223,170,205,246,253,220,239,200
"FAM156B",163,135,156,122,120,97,153,105
"AL591212.2",2592,2134,2524,2322,3613,3269,3433,2590
"AC245102.3",55,46,158,131,59,45,174,87
"HSD17B10",926,737,1446,1360,934,811,1409,1003
"HUWE1",859,642,1379,1395,966,814,1666,1339
"PHF8",664,471,535,522,688,603,639,465
"AL589872.1",1705,1341,1656,1823,2178,1891,2532,2001
"PGAM4P1",292,221,360,481,371,312,434,365
"SNORA11G",1638,1508,2288,1884,1933,1714,2506,1965
"AL590240.2",3123,2676,3635,3121,3615,3297,3900,2919
"AL158819.1",77,70,96,70,92,93,111,84
"MIR4536-2",226,188,273,292,229,178,329,255
"FOXR2",28,21,16,23,9,10,17,13
"AL159987.2",504,424,802,804,301,229,665,482
"AL159987.1",22,19,13,6,13,11,16,7
"AL391419.1",929,838,554,481,925,867,763,550
"KLF8",11,12,7,14,24,20,15,20
"RPL23AP83",282,213,234,234,315,277,254,222
"UBQLN2",40,36,45,57,52,48,57,47
"UQCRBP1",225,205,246,227,261,254,307,191
"AL139397.2",957,863,796,769,893,839,880,702
"SPIN2A",57,56,43,46,69,70,55,37
"PPP1R11P2",1013,895,1206,1193,1026,891,1349,1057
"ZXDB",84,92,54,44,121,124,88,61
"ZFRP1",1103,885,1373,1405,1843,1513,1638,1295
"CBX1P1",461,327,286,315,387,319,362,293
"SPIN4",377,252,389,393,392,327,422,372
"MIR1468",4586,3538,4876,4893,5267,4477,5920,4518
"AMER1",32,35,23,17,37,29,29,23
"RN7SL799P",660,425,581,737,736,661,807,671
"PFN5P",66,47,38,45,79,52,53,40
"ZC4H2",98,95,77,58,55,55,83,55
"ZC3H12B",3594,2969,3642,3371,3305,2951,3418,2582
"TLE1P1",175,145,239,262,197,188,242,192
"AL034397.2",225,221,226,210,234,170,244,225
"AL139276.1",102,96,89,78,123,108,113,85
"EIF4BP9",174,143,104,85,86,80,99,87
"AL157700.1",834,637,1314,1349,967,772,1498,1121
"AL158201.1",1824,1455,2037,2027,1887,1728,2272,1713
"STARD8",722,576,624,517,847,741,831,614
"ACTR3P2",1449,1064,1256,1211,1232,1090,1147,924
"EFNB1",30,18,47,59,27,19,53,38
"HMGN1P35",23,14,17,10,13,11,14,13
"CYCSP43",486,451,519,428,439,356,472,355
"FAM155B",229,155,160,204,380,284,292,235
"AL158069.1",473,368,383,350,482,440,534,422
"AWAT2",147,192,176,119,197,186,200,135
"RN7SL581P",31,24,14,20,25,23,12,19
"RNA5SP507",264,192,272,260,259,266,289,223
"ARR3",3355,2763,4444,4058,3696,3174,4782,3520
"GDPD2",1885,1862,1671,1391,1847,1854,1609,1241
"DLG3",2071,1818,2137,1745,2004,1705,2262,1729
"DLG3-AS1",54,49,63,54,55,46,55,65
"TEX11",1547,1427,1466,1212,1346,1240,1410,1059
"SNORD3E",144,103,116,97,159,143,130,101
"AL627390.1",771,558,1152,1278,1005,854,1388,1033
"SLC7A3",662,506,784,861,1303,1085,895,755
"NUTF2P7",757,592,915,850,792,740,958,702
"SNX12",82,95,66,47,25,26,50,37
"CXorf65",25,24,30,33,35,39,46,30
"NONO",311,258,332,361,365,335,388,313
"INGX",277,224,280,330,436,363,330,266
"OGT",142,104,95,111,126,121,141,129
"GCNA",89,63,43,49,80,74,76,53
"BX276092.7",1027,961,1037,926,1307,1191,1444,1059
"BX276092.8",1755,1356,1822,1776,1927,1715,1853,1604
"BX276092.5",1153,1014,1464,1198,921,889,1526,1133
"RNU6-1078P",66,62,44,38,74,65,67,59
"BX119917.1",69,42,62,59,79,66,99,77
"PHKA1-AS1",77,57,76,56,29,24,58,49
"CAPZA1P3",166,115,151,157,196,169,268,186
"FAM226B",32,17,24,20,36,38,38,23
"FAM236C",39,20,35,26,26,26,29,30
"FAM236A",724,496,645,803,563,487,697,554
"PABPC1L2A",2358,1860,2711,2641,2475,2164,2820,2245
"AL662864.1",227,191,283,214,192,186,250,182
"TOMM20P4",266,216,210,199,346,269,245,206
"CHIC1",1241,915,1247,1430,1114,911,1341,1048
"SEPHS1P4",660,506,773,681,702,633,699,550
"FXYD6P3",1538,1257,1826,1699,2026,1781,2357,1897
"DDX3P1",281,203,270,257,284,229,311,210
"Z83843.1",1543,1332,1905,1802,1454,1413,1849,1512
"MIR374B",882,777,1001,912,924,796,1004,770
"MIR374C",49,46,40,35,66,51,39,39
"AC004386.4",33,24,61,54,10,12,30,20
"AC004386.5",284,221,255,215,283,211,264,256
"AC004386.6",865,766,1253,1224,1070,890,1364,986
"AC004386.2",34,31,17,13,27,37,14,12
"AC004386.1",60,38,36,45,31,31,37,37
"HNRNPA1P25",1489,1346,924,760,1362,1201,1083,825
"RLIM",1573,1206,1345,1145,1770,1538,1519,1139
"AL139395.1",433,331,364,296,313,267,326,247
"ABCB7",255,228,226,181,274,237,259,217
"RNU6-562P",4013,3439,4142,3423,2658,2457,3082,2306
"TTC3P1",271,229,362,362,263,214,405,333
"AL451105.2",15,30,28,27,28,32,48,26
"LDHBP2",89,76,83,114,104,96,112,96
"SPRYD7P1",168,146,132,123,206,164,120,111
"MAGT1",713,523,1021,1015,807,632,1185,909
"RNU6-854P",14,15,14,25,23,11,32,22
"AL356235.1",217,181,209,180,271,274,236,170
"PGAM4",1375,1201,1238,992,1464,1341,1398,1044
"TAF9B",1488,1317,1258,1060,1135,1035,1432,1071
"PPATP2",122,95,122,115,195,178,151,98
"LPAR4",1056,890,685,675,732,687,577,530
"MIR4328",18,19,10,12,13,15,16,24
"CTHRC1P1",595,422,761,707,629,586,819,621
"AL009028.1",243,218,358,319,309,275,338,271
"CHMP1B2P",82,57,43,28,68,72,43,34
"RNU6-493P",224,214,193,217,153,175,220,150
"AL691517.1",176,141,167,147,196,161,170,129
"RPL22P22",41,40,26,22,29,20,28,19
"AL008987.1",1551,1222,1681,1645,1935,1712,2059,1526
"ATG4AP1",18,12,11,14,25,30,16,14
"CYLC1",29,37,22,12,46,42,21,23
"HDX",467,292,474,498,669,551,646,515
"SETP4",510,406,579,569,637,512,694,523
"UBE2DNL",22,18,20,13,51,31,24,21
"SATL1",289,239,271,318,293,243,307,185
"SFR1P2",1321,1179,1367,1136,1257,1137,1362,1050
"AL022401.1",474,354,563,588,507,423,549,507
"CHM",286,247,207,201,305,246,235,169
"MIR361",28,24,23,17,40,25,27,40
"TPMTP4",780,699,506,415,756,669,530,421
"DACH2",680,618,609,513,754,701,694,469
"AL390058.1",929,706,1066,1017,1162,1014,1279,964
"Z82210.1",20,15,6,6,24,18,11,7
"AL929325.1",1748,1459,1770,1692,1818,1570,1565,1223
"AL121872.1",2065,1626,2017,2022,2318,1897,2965,2104
"RNF19BPX",89,80,69,67,88,75,111,59
"UBE2V1P9",1054,939,1251,1099,1050,953,1242,980
"AL121823.1",336,302,273,283,396,322,279,217
"PABPC5",15,17,11,23,18,24,22,15
"SERBP1P4",726,586,787,684,758,679,856,688
"VDAC1P3",424,329,593,524,563,494,767,578
"SNX3P1X",1072,986,917,837,1014,913,937,731
"TUSC2P2",225,156,282,247,188,184,291,202
"AL359263.1",317,235,360,321,278,297,428,264
"NAP1L3",298,251,242,233,324,250,227,180
"PAICSP7",63,53,62,48,61,47,60,43
"MIR548M",629,557,576,541,655,614,622,498
"AL022161.1",2079,1488,2096,2165,2138,1900,2676,2078
"AL365400.1",252,193,233,219,309,249,256,160
"HNRNPDLP3",473,456,594,535,693,670,974,721
"AL365400.2",9723,7918,11048,10363,12281,10951,15566,12586
"AL606530.1",315,287,369,345,293,271,300,259
"RPL6P29",1187,949,1177,1028,942,884,985,730
"EEF1A1P15",331,247,432,456,389,329,583,434
"HMGB1P32",1450,1255,1427,1275,1506,1313,1805,1355
"AL157778.1",34,32,17,20,19,14,23,13
"AL359641.1",142,115,141,113,161,149,147,114
"TSPAN6",291,241,293,285,183,160,278,204
"HNRNPA1P27",14,15,7,3,28,20,18,11
"Z97985.1",706,561,631,558,885,710,896,695
"TMEM35A",443,355,564,524,332,326,539,452
"RNU6-934P",28,21,18,25,33,23,51,31
"RPL21P132",1661,1512,1968,1547,1250,1199,1731,1318
"RPL36A",1188,807,1338,1503,1007,820,1516,1244
"ARMCX3",73,92,232,164,160,154,279,199
"ARMCX3-AS1",6735,5949,8145,6987,5998,5615,7503,5673
"ARMCX2",640,408,728,847,842,710,1067,892
"AC234775.1",893,765,753,618,852,731,826,698
"NXF5",2014,1739,1664,1453,2318,2100,2160,1608
"ZMAT1",251,223,145,143,215,184,197,141
"BEX5",14,10,13,15,16,19,27,27
"AC234791.1",1573,1295,1410,1312,1416,1325,1227,937
"AC235565.2",136,95,112,118,216,182,114,113
"ARMCX5-GPRASP2",113,94,58,56,107,107,72,63
"GPRASP2",278,209,274,285,257,247,399,308
"LINC00630",1209,1082,1336,1175,1243,1203,1357,985
"MTCO3P19",174,121,218,252,173,124,248,200
"MTND6P32",160,110,161,179,162,142,221,197
"RAB40AL",623,527,541,537,842,735,792,593
"Z95624.1",80,87,82,87,83,104,110,79
"Z93943.1",2018,1943,1640,1271,2171,2052,1711,1172
"NXF3",1152,1020,1320,1112,1209,1108,1360,1133
"RPSAP59",31,27,20,9,33,27,18,15
"BEX4",525,421,600,579,911,814,823,590
"BEX3",144,108,111,138,196,146,159,124
"Z73965.1",16,19,11,20,14,16,15,11
"TCEAL3",16,10,22,25,9,9,23,14
"MORF4L2",1106,887,1385,1364,1396,1186,1356,1083
"MORF4L2-AS1",22,17,11,15,19,22,27,16
"GLRA4",2962,2356,2489,2494,2419,2087,2384,2177
"AC234782.3",117,118,60,63,112,86,91,74
"AC234782.2",456,422,738,680,433,400,794,567
"H2BW2",59,35,25,29,53,44,48,25
"H2BW3P",11,10,10,19,33,34,28,19
"FAM199X",10,7,11,16,15,16,18,20
"IL1RAPL2",20535,17808,22848,19511,14865,13980,27846,21234
"KCTD9P2",2274,1942,2747,2477,2271,2075,3187,2470
"RNU6-207P",86,81,61,75,131,116,84,70
"NRK",159,118,168,157,173,140,214,165
"SERPINA7P1",156,155,107,88,232,189,135,84
"RADX",42,28,16,20,46,45,40,24
"TBC1D8B",1012,812,1233,1242,974,876,1453,1022
"EEF1A1P40",1283,1211,1225,1089,1431,1335,1276,1024
"RBM41",179,144,124,123,185,186,174,134
"NUP62CL",52,30,23,20,32,40,23,14
"AL390039.1",38,25,20,24,19,22,39,24
"MYCLP1",1978,1456,2333,2049,1700,1490,2537,1922
"TSC22D3",758,642,767,735,256,222,563,460
"NCBP2L",510,427,534,534,492,463,504,356
"AL109946.1",48,37,56,63,17,18,22,20
"PSMD10",589,488,370,315,457,391,343,266
"IRS4",188,177,294,235,172,117,230,172
"RNU6-309P",819,608,825,902,973,819,913,715
"AL118496.1",27,15,30,22,17,20,27,15
"ACSL4",986,775,1775,1669,800,735,1726,1349
"GLUD1P9",85,78,77,64,103,102,91,59
"RNU6-496P",16,11,23,15,12,11,19,8
"HMGB1P12",1272,1194,968,795,1202,1122,1008,767
"RPL18AP15",1306,1043,1444,1320,1242,1119,1634,1242
"ALG13",65,52,64,69,82,67,104,92
"LHFPL1",14,14,14,31,21,18,29,23
"MIR4329",1315,938,1292,1334,1420,1328,1526,1222
"RN7SL266P",612,620,540,449,441,390,535,463
"AL031183.1",521,457,615,495,347,340,428,344
"XACT",90,72,74,52,161,117,91,69
"QTRT1P1",599,516,687,634,787,627,786,579
"AL953862.1",224,209,184,124,151,156,141,95
"AL953862.2",23,21,26,26,20,18,33,32
"SSU72P1",16,19,21,14,20,22,20,18
"HTR2C",362,329,401,376,359,318,389,265
"MIR764",1777,1512,1768,1512,1935,1744,2133,1664
"HSPA8P7",238,175,172,167,167,136,175,139
"AL355812.1",258,208,232,247,215,174,268,186
"AC239600.2",1415,1155,1128,1145,1623,1431,1422,1218
"AC239600.1",378,288,481,531,457,413,711,545
"EEF1GP5",662,442,482,511,535,521,666,456
"RNU6-154P",28,29,12,15,42,33,11,6
"SLC6A14",65,39,81,46,53,44,65,47
"BX119904.2",437,320,630,591,411,424,527,459
"RNU6-1323P",151,125,159,146,122,104,163,123
"MIR1277",298,195,283,271,302,243,334,270
"DOCK11",57,32,53,70,58,54,65,54
