"","con1","con2","treat1","treat2","con3","con4","treat3","treat4"
"EIF3J-DT",11,14,11,14,18,14,17,12
"EIF3J",347,283,531,445,258,252,490,357
"AC009996.1",483,367,292,252,405,372,316,240
"B2M",60,50,68,62,50,54,59,70
"RNU1-119P",69,50,72,78,79,69,69,63
"RNU6-1108P",127,100,131,93,96,72,122,104
"AC091117.2",1356,1189,931,793,1339,1186,1100,741
"DUOX1",996,710,1157,1201,894,724,1205,785
"AC051619.6",237,162,199,199,214,172,219,141
"AC051619.7",31,24,25,22,46,52,25,19
"AC051619.8",920,721,847,885,1004,825,896,680
"H3P39",686,667,680,605,455,445,645,536
"AC051619.4",52,38,61,71,52,57,73,43
"AC051619.10",177,135,158,149,195,215,254,187
"GATM",39,32,16,22,29,31,21,20
"C15orf48",41,14,43,52,15,13,23,25
"AC025580.1",613,506,629,632,721,686,803,619
"SNORA41B",561,423,545,590,538,458,552,406
"AC091074.3",28,23,17,16,47,47,17,13
"AC073941.1",1310,1060,1445,1454,1534,1374,1721,1362
"RN7SKP101",258,275,282,241,336,288,342,221
"AC073941.2",409,359,249,188,416,424,275,233
"AC066615.1",92,80,77,79,70,70,70,64
"LINC01491",529,442,405,393,553,482,397,268
"AC092078.1",1032,833,1257,1097,1131,1132,1421,1098
"CTXN2",571,449,599,590,689,568,810,702
"SLC12A1",511,418,556,558,557,601,807,646
"AC066612.1",1595,1525,1842,1498,1090,1018,1704,1248
"FBN1",320,229,243,300,293,255,336,277
"AC022467.2",1110,868,1003,993,1031,893,1301,1053
"AC084757.4",1092,846,768,658,975,959,843,653
"MIR4716",762,604,702,639,522,504,661,490
"RN7SL307P",1790,1391,1877,1760,1504,1316,1687,1292
"AC022306.1",4264,2863,3583,3720,4063,3368,4306,3918
"DTWD1",21,8,14,15,8,13,17,13
"AC025040.2",2083,1950,2268,1910,1797,1695,2179,1594
"ATP8B4",884,774,869,820,840,778,1112,810
"AC025040.1",862,766,623,490,810,745,743,526
"RNU6-94P",572,392,514,587,460,377,616,461
"MIR4712",571,444,541,502,518,483,477,426
"RNA5SP395",353,337,313,224,537,496,375,287
"TRPM7",2426,2172,3370,3054,2132,1867,2578,1986
"RN7SL354P",32,36,66,69,22,26,60,43
"AC012100.2",399,384,335,306,380,348,410,256
"DCAF13P3",166,151,167,192,232,164,188,169
"TNFAIP8L3",146,115,145,143,137,118,161,131
"AC073964.1",24,20,22,17,24,27,20,18
"CYP19A1",31,15,20,9,34,19,27,16
"MIR7973-2",2663,2456,2516,2077,2618,2360,2499,1921
"GLDN",14,20,18,13,12,13,17,11
"AC020891.4",416,323,574,519,497,415,627,483
"AC066613.2",383,273,484,477,396,365,624,407
"AC066613.1",2579,1913,3251,3352,3027,2453,3727,3165
"SCG3",3524,2475,3348,3636,3031,2357,3391,2682
"AC020892.1",260,188,449,453,226,171,427,338
"TMOD2",32,15,15,10,37,30,17,21
"AC090971.6",2482,2217,2880,2446,2587,2475,3043,2402
"AC090971.7",253,178,227,202,154,108,207,159
"RNU6-90P",264,202,235,201,347,323,264,201
"LEO1",209,177,235,257,247,241,314,266
"AC023906.4",764,595,685,700,721,655,648,579
"CERNA1",74,51,41,41,95,67,51,38
"MYO5C",755,668,763,639,1129,1028,1002,836
"FAM214A",26,27,20,24,19,21,24,21
"AC009754.1",197,152,160,161,222,194,197,128
"EEF1A1P22",871,658,1426,1379,873,771,1465,1124
"WDR72",1043,742,961,930,944,790,1110,864
"RNU6-449P",160,140,171,155,238,208,235,171
"RSL24D1",595,459,664,728,645,577,784,629
"PIGBOS1",63,75,64,47,109,94,101,76
"CCPG1",890,798,872,757,725,677,863,648
"RN7SL568P",39,28,24,34,25,29,28,31
"CD24P2",533,399,386,441,593,507,568,484
"RFX7",149,87,92,92,129,99,85,88
"RNU6-1287P",850,649,728,705,758,705,666,513
"AC090517.5",1450,1205,1629,1531,1131,1035,1595,1217
"HNRNPA3P11",103,88,89,107,149,139,136,93
"LINC01413",232,150,240,212,167,154,219,186
"RNU6-844P",646,655,859,723,642,640,866,688
"AC025271.2",561,364,521,565,500,381,564,388
"AC066616.2",746,554,919,822,794,759,951,634
"AC066616.1",193,164,201,184,161,133,233,183
"LIPC",67,46,48,65,71,56,76,66
"AC084781.1",2804,2286,2362,2177,2463,2105,2410,1791
"AC018904.2",2222,1866,2158,1820,3394,3136,2960,2301
"RN7SKP95",31,30,84,42,19,20,47,42
"AC090515.2",173,129,160,189,305,224,229,186
"ZNF444P1",269,234,213,149,243,221,251,196
"AC090515.1",249,188,282,251,271,281,337,271
"CCNB2",13,9,22,21,28,14,30,19
"RNU6-212P",8703,6766,7032,7525,7450,6056,7584,5828
"FAM81A",256,194,303,299,318,280,359,262
"AC092754.2",754,567,579,588,810,676,756,632
"AC092754.1",337,318,297,280,389,359,315,242
"GCNT3",563,344,432,476,497,366,578,446
"AC037433.1",265,209,289,258,205,162,291,236
"AC009554.1",32,27,26,19,42,38,23,20
"AC009554.2",98,76,56,28,115,94,60,48
"AC104590.1",2348,2198,2164,1782,2054,2012,2386,1792
"C2CD4B",28,23,35,36,45,32,34,33
"AC126323.3",50,29,26,29,33,42,24,21
"AC126323.6",300,230,178,174,244,234,178,170
"AC126323.5",466,400,482,460,480,451,536,448
"TLN2",31,30,15,18,15,14,25,14
"TPM1-AS",355,271,416,414,378,333,405,314
"RAB8B",354,311,371,323,369,326,351,319
"USP3-AS1",420,280,473,543,479,374,507,373
"AC015914.1",297,288,326,274,296,248,322,227
