gene_symbol,comparison,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RNA5SP496,treat_vs_con,29.3676799257857,-0.327554598281317,0.207503804486055,-1.57854743479332,0.114439899754506,0.218338537724009
LINC01521,treat_vs_con,129.207448462929,0.297474157180578,0.14595418880702,2.03813374327952,0.0415365594070663,0.0992183665960433
RNU6-338P,treat_vs_con,355.708904157581,0.260485778276517,0.110601473671787,2.35517457072511,0.0185140057181816,0.0520287055613295
DRG1,treat_vs_con,228.511576454326,0.383257854607152,0.128661884771931,2.97879869618359,0.00289380825679746,0.0114733697869069
AL096701.3,treat_vs_con,554.643566742517,0.261936856565348,0.0981234516608872,2.66946231641542,0.00759727976999374,0.0254027354562889
AL096701.4,treat_vs_con,825.712457266412,-0.135031673218764,0.0818491439200937,-1.64976280449054,0.0989914591232816,0.194640316734373
H2AZP6,treat_vs_con,1696.85828656909,0.482612974088275,0.0709353387757605,6.80356198218637,1.02063547471138e-11,5.37523072022914e-10
AL096701.2,treat_vs_con,26.0052417375404,0.0557109355781289,0.214326502906247,0.259934888232178,0.794913999073552,0.870321975287639
AL096701.1,treat_vs_con,49.154034566273,-0.0213027926951451,0.185246169817694,-0.114997210015785,0.908447333458636,0.94400053666594
PISD,treat_vs_con,981.388225871608,0.196253700169464,0.112300855376967,1.74757084005004,0.080538368329692,0.166037082390845
MIR7109,treat_vs_con,66.4792896768843,0.236010480188708,0.221376054138415,1.06610663518803,0.286375440540425,0.431349689955038
Z82190.2,treat_vs_con,56.1251224609649,-0.176862687078909,0.186303443322589,-0.949325916497783,0.34245487632099,0.490843507013672
RN7SL20P,treat_vs_con,139.025150989446,0.416358968329776,0.195664916429465,2.12791836128614,0.0333438529437378,0.0831516995144864
YWHAH,treat_vs_con,499.523194598063,0.334717715399913,0.0816419497022443,4.09982510977088,4.13462470048213e-05,0.000340274100016745
RN7SL305P,treat_vs_con,643.923193285332,0.655611357626639,0.0791610039760615,8.2819990234699,1.21124586414597e-16,1.66881561871754e-14
SLC5A1,treat_vs_con,538.67720109664,0.555612249953016,0.101620903580424,5.46749960271016,4.56428231368911e-08,9.45388461510559e-07
AP1B1P2,treat_vs_con,63.4577585094618,-0.41764886739602,0.197068082413439,-2.11931258619452,0.0340640586804827,0.0846445232686842
Z83839.2,treat_vs_con,121.056377366544,-0.889733007997432,0.130770709295329,-6.80376372348094,1.01920649383374e-11,5.37523072022914e-10
RFPL3S,treat_vs_con,72.8604823508089,-0.594529766660923,0.156340877811944,-3.80277874207704,0.000143082135553286,0.000959122690583299
RTCB,treat_vs_con,4356.85934452771,0.24177429254633,0.0871530354209199,2.77413507606065,0.00553486917182376,0.019602396727818
FBXO7,treat_vs_con,1018.48538695547,-0.349052343294784,0.150999118979128,-2.31161840979372,0.0207987212020664,0.0570467591306587
TIMP3,treat_vs_con,925.829755020269,-0.917381986203058,0.075250138889593,-12.191100239018,3.46708522950925e-34,5.35005921765572e-31
MIR4764,treat_vs_con,653.917408267768,0.653411698527261,0.0869912569571081,7.51123413298226,5.85725269359584e-14,4.96611353378447e-12
Z82196.1,treat_vs_con,18191.1690434231,0.175987386506449,0.0883301603593415,1.99238160318632,0.0463292042824812,0.107859139651075
Z82196.2,treat_vs_con,747.923802266601,0.395371228389576,0.105952589272065,3.73158627935312,0.000190277817458459,0.00121325539978385
ISX,treat_vs_con,88.0177311526431,-0.1892963438275,0.149007922961446,-1.27037770922072,0.203950119492645,0.337207435346674
Z99755.2,treat_vs_con,922.987468907258,0.404156234216103,0.229647261522567,1.7599000812661,0.0784247495580378,0.162548329137687
APOL5,treat_vs_con,323.756254866309,-0.523407183723661,0.15704657282064,-3.33281506449322,0.000859720678277724,0.00421421530702146
Z95114.4,treat_vs_con,26.3022719483475,-0.208483036729376,0.23570698674507,-0.884500878011146,0.37642588868285,0.524437828528298
Z95114.1,treat_vs_con,1507.47954811205,0.0742151718407801,0.0609088599009748,1.21846266637462,0.223048203666066,0.360177567054318
MTCO1P20,treat_vs_con,26.9225074005003,-0.197812053850323,0.226891485642191,-0.871835508901702,0.383298120083116,0.531512696890957
